"","X","date","PL","plr"
"272",272,2008-05-13,-86176.7258681039,0
"273",273,2008-05-14,0,0
"274",274,2008-05-15,0,0
"275",275,2008-05-16,0,0
"276",276,2008-05-19,0,0
"277",277,2008-05-20,344494.950845332,0
"278",278,2008-05-21,0,0
"279",279,2008-05-22,0,0
"280",280,2008-05-23,0,0
"281",281,2008-05-27,-93849.1174510965,0
"282",282,2008-05-28,0,0
"283",283,2008-05-29,0,0
"284",284,2008-05-30,0,0
"285",285,2008-06-02,0,0
"286",286,2008-06-03,21476.4373931188,0
"287",287,2008-06-04,0,0
"288",288,2008-06-05,0,0
"289",289,2008-06-06,0,0
"290",290,2008-06-09,0,0
"291",291,2008-06-10,-116592.760236398,0
"292",292,2008-06-11,0,0
"293",293,2008-06-12,0,0
"294",294,2008-06-13,0,0
"295",295,2008-06-16,0,0
"296",296,2008-06-17,639.27604677662,0
"297",297,2008-06-18,0,0
"298",298,2008-06-19,0,0
"299",299,2008-06-20,0,0
"300",300,2008-06-23,0,0
"301",301,2008-06-24,-147017.904580001,0
"302",302,2008-06-25,0,0
"303",303,2008-06-26,0,0
"304",304,2008-06-27,0,0
"305",305,2008-06-30,0,0
"306",306,2008-07-01,-216998.60796,0
"307",307,2008-07-02,0,0
"308",308,2008-07-03,0,0
"309",309,2008-07-07,0,0
"310",310,2008-07-08,77872.1139999998,0
"311",311,2008-07-09,0,0
"312",312,2008-07-10,0,0
"313",313,2008-07-11,0,0
"314",314,2008-07-14,0,0
"315",315,2008-07-15,-462999.406283064,0
"316",316,2008-07-16,0,0
"317",317,2008-07-17,0,0
"318",318,2008-07-18,0,0
"319",319,2008-07-21,0,0
"320",320,2008-07-22,13544.3294435717,0
"321",321,2008-07-23,0,0
"322",322,2008-07-24,0,0
"323",323,2008-07-25,0,0
"324",324,2008-07-28,0,0
"325",325,2008-07-29,320043.202895633,0
"326",326,2008-07-30,0,0
"327",327,2008-07-31,0,0
"328",328,2008-08-04,0,0
"329",329,2008-08-05,675962.94210235,0
"330",330,2008-08-06,0,0
"331",331,2008-08-07,0,0
